Field Name,Meaning,JSON Type,Requiredness,Nullable,Empty Allowed,Format or Enum,Conditional Requiredness,Normative Source,Owner,Security Classification,Retention Classification,Integrity Participation,Valid Example,Invalid Example,Admission Interaction,Replay Interaction,Test
contract_name,Executable semantics defined by Event Envelope v1 §Field Closure: contract_name,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"""event-envelope""",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
contract_version,Executable semantics defined by Event Envelope v1 §Field Closure: contract_version,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"""1.0.0""",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
event_id,Executable semantics defined by Event Envelope v1 §Field Closure: event_id,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/eventId,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
event_type,Executable semantics defined by Event Envelope v1 §Field Closure: event_type,string,Required,No,Only related_entity_refs may be empty,"^[A-Z][A-Z0-9_]{2,63}$",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
event_version,Executable semantics defined by Event Envelope v1 §Field Closure: event_version,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/semver,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
event_domain,Executable semantics defined by Event Envelope v1 §Field Closure: event_domain,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""CHAIN"", ""MARKET"", ""SOCIAL"", ""QUALITY"", ""ANALYSIS"", ""DECISION"", ""SYSTEM""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
event_stage,Executable semantics defined by Event Envelope v1 §Field Closure: event_stage,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,"[""RAW"", ""NORMALIZED"", ""SYSTEM""]",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
producer_name,Executable semantics defined by Event Envelope v1 §Field Closure: producer_name,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/name,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
producer_version,Executable semantics defined by Event Envelope v1 §Field Closure: producer_version,ref/union/enum/const,Required,No,Only related_entity_refs may be empty,#/$defs/semver,See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
source_id,Executable semantics defined by Event Envelope v1 §Field Closure: source_id,string,Required,No,Only related_entity_refs may be empty,"^urn:dex-ai:source:[a-z0-9][a-z0-9.-]{1,62}$",See JSON Schema allOf,SESSION 18 semantic closure constrained by SESSION 00-16,Basel Atta,INTERNAL,EVENT_730D,Not in payload digest,session18/valid,session18/invalid,Schema and semantic validation,cutoff enforced,tooling/validate/runner.py
